input_file,si,ti,n
dancers.mkv,12.023,5.993,178
dancers.mkv,12.011,5.964,179
dancers.mkv,11.995,5.936,180
dancers.mkv,11.99,5.886,181
dancers.mkv,12.019,5.822,182
dancers.mkv,11.979,5.738,183
dancers.mkv,11.985,5.643,184
dancers.mkv,12.03,5.511,185
dancers.mkv,12.044,5.46,186
dancers.mkv,12.03,5.373,187
dancers.mkv,12.028,5.302,188
dancers.mkv,12.0,5.25,189
dancers.mkv,12.01,5.212,190
dancers.mkv,11.991,5.175,191
dancers.mkv,12.045,5.128,192
dancers.mkv,12.089,5.13,193
dancers.mkv,12.148,5.125,194
dancers.mkv,12.167,5.178,195
dancers.mkv,12.208,5.192,196
dancers.mkv,12.261,5.086,197
dancers.mkv,12.361,4.964,198
dancers.mkv,12.438,4.95,199
dancers.mkv,12.461,4.953,200
dancers.mkv,12.462,4.899,201
dancers.mkv,12.507,4.755,202
dancers.mkv,12.51,4.659,203
dancers.mkv,12.526,4.492,204
dancers.mkv,12.51,4.656,205
dancers.mkv,12.533,4.667,206
dancers.mkv,12.495,4.643,207
dancers.mkv,12.511,4.605,208
dancers.mkv,12.51,4.527,209
dancers.mkv,12.565,4.396,210
dancers.mkv,12.531,4.371,211
dancers.mkv,12.539,4.364,212
dancers.mkv,12.506,4.372,213
dancers.mkv,12.584,4.282,214
dancers.mkv,12.574,4.285,215
dancers.mkv,12.548,4.289,216
dancers.mkv,12.56,4.288,217
dancers.mkv,12.542,4.221,218
dancers.mkv,12.525,4.23,219
dancers.mkv,12.539,4.24,220
dancers.mkv,12.527,4.221,221
dancers.mkv,12.537,4.216,222
dancers.mkv,12.527,4.204,223
dancers.mkv,12.498,4.181,224
dancers.mkv,12.48,4.155,225
dancers.mkv,12.511,4.077,226
dancers.mkv,12.482,4.089,227
dancers.mkv,12.496,4.204,228
dancers.mkv,12.538,4.245,229
dancers.mkv,12.558,4.286,230
dancers.mkv,12.561,4.308,231
dancers.mkv,12.533,4.44,232
dancers.mkv,12.54,4.374,233
dancers.mkv,12.581,4.303,234
dancers.mkv,12.637,4.271,235
dancers.mkv,12.654,4.305,236
dancers.mkv,12.696,4.32,237
dancers.mkv,12.726,4.331,238
dancers.mkv,12.713,4.335,239
dancers.mkv,12.711,4.377,240
dancers.mkv,12.707,4.398,241
dancers.mkv,12.705,4.377,242
dancers.mkv,12.746,4.348,243
dancers.mkv,12.775,4.314,244
dancers.mkv,12.79,4.272,245
dancers.mkv,12.822,4.217,246
dancers.mkv,12.84,4.194,247
dancers.mkv,12.846,4.169,248
dancers.mkv,12.873,4.107,249
dancers.mkv,12.88,4.026,250
dancers.mkv,12.912,3.94,251
dancers.mkv,12.958,3.854,252
dancers.mkv,12.991,3.762,253
dancers.mkv,13.036,3.685,254
dancers.mkv,13.042,3.626,255
dancers.mkv,13.056,3.563,256
dancers.mkv,13.054,3.497,257
dancers.mkv,13.074,3.45,258
dancers.mkv,13.108,3.418,259
dancers.mkv,13.112,3.378,260
dancers.mkv,13.153,3.315,261
dancers.mkv,13.162,3.272,262
dancers.mkv,13.161,3.24,263
dancers.mkv,13.167,3.193,264
dancers.mkv,13.202,3.148,265
dancers.mkv,13.207,3.114,266
dancers.mkv,13.232,3.088,267
dancers.mkv,13.245,3.085,268
dancers.mkv,13.201,3.086,269
dancers.mkv,13.201,3.045,270
dancers.mkv,13.261,2.991,271
dancers.mkv,13.311,2.936,272
dancers.mkv,13.309,2.899,273
dancers.mkv,13.334,2.894,274
dancers.mkv,13.356,2.911,275
dancers.mkv,13.374,2.927,276
dancers.mkv,13.411,2.924,277
dancers.mkv,13.43,2.891,278
dancers.mkv,13.44,2.902,279
dancers.mkv,13.445,2.909,280
dancers.mkv,13.438,2.96,281
dancers.mkv,13.445,3.012,282
dancers.mkv,13.448,3.005,283
dancers.mkv,13.4,3.019,284
dancers.mkv,13.425,3.08,285
dancers.mkv,13.45,3.148,286
dancers.mkv,13.464,3.204,287
dancers.mkv,13.512,3.249,288
dancers.mkv,13.474,3.312,289
dancers.mkv,13.471,3.406,290
dancers.mkv,13.431,3.506,291
dancers.mkv,13.429,3.588,292
dancers.mkv,13.427,3.622,293
dancers.mkv,13.44,3.711,294
dancers.mkv,13.437,3.753,295
dancers.mkv,13.426,3.773,296
dancers.mkv,13.414,3.807,297
dancers.mkv,13.389,3.873,298
dancers.mkv,13.349,3.889,299
dancers.mkv,13.333,3.958,300
dancers.mkv,13.302,3.98,301
dancers.mkv,13.222,4.011,302
dancers.mkv,13.185,4.067,303
dancers.mkv,13.189,4.108,304
dancers.mkv,13.167,4.158,305
dancers.mkv,13.108,4.163,306
dancers.mkv,13.07,4.119,307
dancers.mkv,13.017,4.144,308
dancers.mkv,12.976,4.19,309
dancers.mkv,12.932,4.186,310
dancers.mkv,12.86,4.307,311
dancers.mkv,12.837,4.435,312
dancers.mkv,12.763,4.605,313
dancers.mkv,12.698,4.813,314
dancers.mkv,12.626,5.102,315
dancers.mkv,12.635,5.395,316
dancers.mkv,12.593,5.703,317
dancers.mkv,12.581,6.07,318
dancers.mkv,12.587,6.383,319
dancers.mkv,12.565,6.617,320
dancers.mkv,12.539,6.695,321
dancers.mkv,12.485,6.658,322
dancers.mkv,12.504,6.572,323
dancers.mkv,12.5,6.548,324
dancers.mkv,12.519,6.449,325
dancers.mkv,12.569,6.274,326
dancers.mkv,12.591,6.277,327
dancers.mkv,12.695,6.327,328
dancers.mkv,12.698,6.369,329
dancers.mkv,12.669,6.212,330
dancers.mkv,12.763,5.923,331
dancers.mkv,12.778,5.685,332
dancers.mkv,12.823,5.578,333
dancers.mkv,12.888,5.562,334
dancers.mkv,12.964,5.48,335
dancers.mkv,12.97,5.38,336
dancers.mkv,12.999,5.291,337
dancers.mkv,13.043,5.304,338
dancers.mkv,13.139,5.214,339
dancers.mkv,13.199,5.185,340
dancers.mkv,13.316,5.098,341
dancers.mkv,13.44,5.085,342
dancers.mkv,13.499,5.068,343
dancers.mkv,13.372,5.107,344
dancers.mkv,13.393,5.119,345
dancers.mkv,13.363,5.135,346
dancers.mkv,13.381,5.12,347
dancers.mkv,13.436,5.083,348
dancers.mkv,13.384,5.091,349
dancers.mkv,13.36,5.079,350
dancers.mkv,13.308,4.992,351
dancers.mkv,13.323,5.032,352
dancers.mkv,13.407,5.093,353
dancers.mkv,13.335,5.135,354
dancers.mkv,13.323,5.331,355
dancers.mkv,13.265,5.518,356
dancers.mkv,13.302,5.639,357
dancers.mkv,13.327,5.684,358
dancers.mkv,13.301,5.6,359
dancers.mkv,13.433,5.521,360
dancers.mkv,13.442,5.454,361
dancers.mkv,13.495,5.314,362
dancers.mkv,13.461,5.254,363
dancers.mkv,13.477,5.218,364
dancers.mkv,13.456,5.106,365
dancers.mkv,13.407,5.04,366
dancers.mkv,13.373,4.981,367
dancers.mkv,13.391,4.911,368
dancers.mkv,13.385,4.851,369
dancers.mkv,13.351,4.834,370
dancers.mkv,13.293,4.836,371
dancers.mkv,13.247,4.82,372
dancers.mkv,13.241,4.751,373
dancers.mkv,13.162,4.746,374
dancers.mkv,13.054,4.703,375
dancers.mkv,13.053,4.73,376
dancers.mkv,12.973,4.815,377
dancers.mkv,12.889,4.937,378
dancers.mkv,12.882,4.971,379
dancers.mkv,12.874,5.011,380
dancers.mkv,12.911,4.959,381
dancers.mkv,12.911,5.034,382
dancers.mkv,12.898,5.172,383
dancers.mkv,12.908,5.285,384
dancers.mkv,12.851,5.314,385
dancers.mkv,12.842,5.44,386
dancers.mkv,12.799,5.525,387
dancers.mkv,12.765,5.792,388
dancers.mkv,12.723,5.862,389
dancers.mkv,12.682,5.711,390
dancers.mkv,12.634,5.565,391
dancers.mkv,12.694,5.51,392
dancers.mkv,12.652,5.448,393
dancers.mkv,12.673,5.426,394
dancers.mkv,12.638,5.396,395
dancers.mkv,12.536,5.392,396
dancers.mkv,12.488,5.369,397
dancers.mkv,12.492,5.32,398
dancers.mkv,12.524,5.268,399
dancers.mkv,12.55,5.244,400
dancers.mkv,12.501,5.215,401
dancers.mkv,12.45,5.232,402
dancers.mkv,12.431,5.3,403
dancers.mkv,12.375,5.324,404
dancers.mkv,12.369,5.298,405
dancers.mkv,12.308,5.257,406
dancers.mkv,12.214,5.246,407
dancers.mkv,12.07,5.288,408
dancers.mkv,11.991,5.443,409
dancers.mkv,11.996,5.446,410
dancers.mkv,12.057,5.504,411
dancers.mkv,12.073,5.381,412
dancers.mkv,12.137,5.316,413
dancers.mkv,12.15,5.249,414
dancers.mkv,12.182,5.079,415
dancers.mkv,12.215,4.902,416
dancers.mkv,12.212,4.762,417
dancers.mkv,12.138,4.585,418
dancers.mkv,12.153,4.581,419
dancers.mkv,12.194,4.546,420
dancers.mkv,12.22,4.463,421
dancers.mkv,12.273,4.45,422
dancers.mkv,12.379,4.558,423
dancers.mkv,12.466,4.743,424
dancers.mkv,12.574,4.951,425
dancers.mkv,12.664,5.076,426
dancers.mkv,12.685,5.238,427
dancers.mkv,12.74,5.213,428
dancers.mkv,12.751,5.025,429
dancers.mkv,12.731,4.8,430
dancers.mkv,12.745,4.668,431
dancers.mkv,12.738,4.458,432
dancers.mkv,12.746,4.233,433
dancers.mkv,12.727,4.096,434
dancers.mkv,12.695,3.955,435
dancers.mkv,12.676,3.748,436
dancers.mkv,12.68,3.618,437
dancers.mkv,12.663,3.408,438
dancers.mkv,12.595,3.258,439
dancers.mkv,12.584,3.106,440
dancers.mkv,12.544,3.014,441
dancers.mkv,12.539,2.951,442
dancers.mkv,12.534,2.927,443
dancers.mkv,12.482,2.93,444
dancers.mkv,12.491,2.941,445
dancers.mkv,12.46,2.956,446
dancers.mkv,12.439,2.954,447
dancers.mkv,12.41,2.96,448
dancers.mkv,12.384,2.985,449
dancers.mkv,12.397,3.036,450
dancers.mkv,12.357,3.063,451
dancers.mkv,12.328,3.064,452
dancers.mkv,12.252,3.068,453
dancers.mkv,12.211,3.081,454
dancers.mkv,12.205,3.088,455
dancers.mkv,12.2,3.074,456
dancers.mkv,12.141,3.035,457
dancers.mkv,12.104,2.978,458
dancers.mkv,12.089,2.918,459
dancers.mkv,12.027,2.865,460
dancers.mkv,12.003,2.831,461
dancers.mkv,11.996,2.813,462
dancers.mkv,11.952,2.776,463
dancers.mkv,11.916,2.779,464
dancers.mkv,11.875,2.767,465
dancers.mkv,11.854,2.756,466
dancers.mkv,11.854,2.757,467
dancers.mkv,11.799,2.761,468
dancers.mkv,11.814,2.76,469
dancers.mkv,11.782,2.767,470
dancers.mkv,11.766,2.796,471
dancers.mkv,11.849,2.764,472
dancers.mkv,11.865,2.737,473
dancers.mkv,11.833,2.75,474
dancers.mkv,11.839,2.764,475
dancers.mkv,11.793,2.759,476
dancers.mkv,11.756,2.747,477
dancers.mkv,11.732,2.728,478
dancers.mkv,11.724,2.706,479
