input_file,si,ti,n
bigbuck_bunny.mkv,28.564,1.284,133
bigbuck_bunny.mkv,28.526,1.302,134
bigbuck_bunny.mkv,28.51,1.304,135
bigbuck_bunny.mkv,28.492,1.321,136
bigbuck_bunny.mkv,28.483,1.343,137
bigbuck_bunny.mkv,28.482,1.449,138
bigbuck_bunny.mkv,28.489,1.48,139
bigbuck_bunny.mkv,28.493,1.507,140
bigbuck_bunny.mkv,28.501,1.55,141
bigbuck_bunny.mkv,28.502,1.542,142
bigbuck_bunny.mkv,28.506,1.486,143
bigbuck_bunny.mkv,28.503,1.415,144
bigbuck_bunny.mkv,28.507,1.304,145
bigbuck_bunny.mkv,28.478,1.185,146
bigbuck_bunny.mkv,28.431,1.07,147
bigbuck_bunny.mkv,28.437,1.093,148
bigbuck_bunny.mkv,28.428,1.255,149
bigbuck_bunny.mkv,28.427,1.436,150
bigbuck_bunny.mkv,28.43,1.602,151
bigbuck_bunny.mkv,28.43,1.743,152
bigbuck_bunny.mkv,28.428,1.841,153
bigbuck_bunny.mkv,28.429,1.908,154
bigbuck_bunny.mkv,28.443,1.936,155
bigbuck_bunny.mkv,28.449,1.933,156
bigbuck_bunny.mkv,28.469,1.898,157
bigbuck_bunny.mkv,28.483,1.849,158
bigbuck_bunny.mkv,28.485,1.776,159
bigbuck_bunny.mkv,28.479,1.667,160
bigbuck_bunny.mkv,28.486,1.519,161
bigbuck_bunny.mkv,28.487,1.336,162
bigbuck_bunny.mkv,28.48,1.296,163
bigbuck_bunny.mkv,28.258,1.627,164
bigbuck_bunny.mkv,28.164,6.694,165
bigbuck_bunny.mkv,27.626,9.079,166
bigbuck_bunny.mkv,26.96,12.141,167
bigbuck_bunny.mkv,27.156,9.689,168
bigbuck_bunny.mkv,27.078,8.66,169
bigbuck_bunny.mkv,27.145,10.774,170
bigbuck_bunny.mkv,26.975,11.184,171
bigbuck_bunny.mkv,26.839,10.59,172
bigbuck_bunny.mkv,26.932,12.178,173
bigbuck_bunny.mkv,27.036,10.987,174
bigbuck_bunny.mkv,26.938,11.467,175
bigbuck_bunny.mkv,26.945,7.954,176
bigbuck_bunny.mkv,27.038,7.224,177
bigbuck_bunny.mkv,27.221,7.109,178
bigbuck_bunny.mkv,27.333,7.588,179
bigbuck_bunny.mkv,27.233,8.209,180
bigbuck_bunny.mkv,27.213,9.724,181
bigbuck_bunny.mkv,27.378,8.086,182
bigbuck_bunny.mkv,27.44,9.154,183
bigbuck_bunny.mkv,27.645,6.77,184
bigbuck_bunny.mkv,27.444,9.592,185
bigbuck_bunny.mkv,27.388,7.14,186
bigbuck_bunny.mkv,27.653,6.839,187
bigbuck_bunny.mkv,27.819,5.938,188
bigbuck_bunny.mkv,27.865,5.847,189
bigbuck_bunny.mkv,28.074,6.928,190
bigbuck_bunny.mkv,28.038,7.267,191
bigbuck_bunny.mkv,27.852,8.37,192
bigbuck_bunny.mkv,28.013,8.911,193
bigbuck_bunny.mkv,28.146,8.907,194
bigbuck_bunny.mkv,28.204,7.787,195
bigbuck_bunny.mkv,28.364,7.741,196
bigbuck_bunny.mkv,28.252,8.584,197
bigbuck_bunny.mkv,27.793,8.911,198
bigbuck_bunny.mkv,27.595,7.678,199
bigbuck_bunny.mkv,27.814,7.391,200
bigbuck_bunny.mkv,27.947,6.795,201
bigbuck_bunny.mkv,27.893,6.167,202
bigbuck_bunny.mkv,27.778,6.312,203
bigbuck_bunny.mkv,27.52,6.136,204
bigbuck_bunny.mkv,27.864,8.145,205
bigbuck_bunny.mkv,28.004,8.47,206
bigbuck_bunny.mkv,28.128,6.831,207
bigbuck_bunny.mkv,28.133,8.436,208
bigbuck_bunny.mkv,28.345,6.209,209
bigbuck_bunny.mkv,27.757,9.376,210
bigbuck_bunny.mkv,27.452,8.054,211
bigbuck_bunny.mkv,27.526,7.434,212
bigbuck_bunny.mkv,27.989,6.164,213
bigbuck_bunny.mkv,28.095,5.308,214
bigbuck_bunny.mkv,28.106,5.25,215
bigbuck_bunny.mkv,27.667,6.134,216
bigbuck_bunny.mkv,27.858,6.901,217
bigbuck_bunny.mkv,28.27,7.409,218
bigbuck_bunny.mkv,28.364,7.158,219
bigbuck_bunny.mkv,28.373,6.455,220
bigbuck_bunny.mkv,28.523,6.776,221
bigbuck_bunny.mkv,28.401,7.81,222
bigbuck_bunny.mkv,27.943,6.523,223
bigbuck_bunny.mkv,27.767,7.314,224
bigbuck_bunny.mkv,27.987,6.189,225
bigbuck_bunny.mkv,28.295,5.166,226
bigbuck_bunny.mkv,28.383,5.493,227
