input_file,si,ti,n
Sparks_cut.mkv,48.732,21.057,145
Sparks_cut.mkv,50.093,19.668,146
Sparks_cut.mkv,48.356,19.592,147
Sparks_cut.mkv,47.154,19.052,148
Sparks_cut.mkv,39.213,20.318,149
Sparks_cut.mkv,38.099,14.935,150
Sparks_cut.mkv,36.821,14.285,151
Sparks_cut.mkv,48.69,20.177,152
Sparks_cut.mkv,51.135,19.653,153
Sparks_cut.mkv,51.55,20.149,154
Sparks_cut.mkv,41.808,21.464,155
Sparks_cut.mkv,39.038,16.198,156
Sparks_cut.mkv,38.575,15.652,157
Sparks_cut.mkv,48.553,20.877,158
Sparks_cut.mkv,50.376,20.668,159
Sparks_cut.mkv,43.801,20.452,160
Sparks_cut.mkv,41.265,17.354,161
Sparks_cut.mkv,40.466,16.756,162
Sparks_cut.mkv,50.263,19.819,163
Sparks_cut.mkv,54.62,21.83,164
Sparks_cut.mkv,53.998,22.063,165
Sparks_cut.mkv,46.786,20.925,166
Sparks_cut.mkv,44.029,19.048,167
Sparks_cut.mkv,44.101,18.017,168
Sparks_cut.mkv,51.639,20.744,169
Sparks_cut.mkv,50.533,20.838,170
Sparks_cut.mkv,40.981,20.717,171
Sparks_cut.mkv,38.233,16.092,172
Sparks_cut.mkv,39.147,15.357,173
Sparks_cut.mkv,51.481,20.462,174
Sparks_cut.mkv,52.001,20.628,175
Sparks_cut.mkv,44.988,19.678,176
Sparks_cut.mkv,38.762,17.763,177
Sparks_cut.mkv,38.169,15.167,178
Sparks_cut.mkv,37.443,14.772,179
Sparks_cut.mkv,37.35,14.354,180
Sparks_cut.mkv,40.9,14.842,181
Sparks_cut.mkv,51.981,19.951,182
Sparks_cut.mkv,53.954,20.351,183
Sparks_cut.mkv,54.342,21.369,184
Sparks_cut.mkv,55.384,21.781,185
Sparks_cut.mkv,49.75,21.046,186
Sparks_cut.mkv,40.049,20.761,187
Sparks_cut.mkv,37.057,15.603,188
Sparks_cut.mkv,43.546,16.753,189
Sparks_cut.mkv,52.623,20.16,190
Sparks_cut.mkv,54.62,21.078,191
Sparks_cut.mkv,55.159,21.619,192
Sparks_cut.mkv,54.808,21.629,193
Sparks_cut.mkv,48.806,20.834,194
Sparks_cut.mkv,40.729,19.491,195
Sparks_cut.mkv,45.991,18.206,196
Sparks_cut.mkv,51.913,19.923,197
Sparks_cut.mkv,53.637,20.847,198
Sparks_cut.mkv,52.614,20.884,199
Sparks_cut.mkv,42.618,20.992,200
Sparks_cut.mkv,38.082,17.021,201
Sparks_cut.mkv,38.911,15.208,202
Sparks_cut.mkv,38.99,14.966,203
Sparks_cut.mkv,40.09,14.993,204
Sparks_cut.mkv,39.677,15.057,205
Sparks_cut.mkv,41.488,15.181,206
Sparks_cut.mkv,41.044,15.442,207
Sparks_cut.mkv,41.322,15.568,208
Sparks_cut.mkv,40.518,15.383,209
Sparks_cut.mkv,38.902,15.04,210
Sparks_cut.mkv,37.827,14.633,211
Sparks_cut.mkv,37.353,14.361,212
Sparks_cut.mkv,37.344,14.124,213
Sparks_cut.mkv,37.241,13.842,214
Sparks_cut.mkv,36.944,13.769,215
Sparks_cut.mkv,36.975,13.449,216
Sparks_cut.mkv,38.18,13.741,217
Sparks_cut.mkv,39.366,14.221,218
Sparks_cut.mkv,39.531,14.21,219
Sparks_cut.mkv,39.726,14.383,220
Sparks_cut.mkv,39.983,14.768,221
Sparks_cut.mkv,40.652,14.755,222
Sparks_cut.mkv,39.651,14.736,223
Sparks_cut.mkv,40.638,14.947,224
Sparks_cut.mkv,39.988,14.914,225
Sparks_cut.mkv,40.843,14.814,226
Sparks_cut.mkv,44.157,15.472,227
Sparks_cut.mkv,45.505,16.214,228
Sparks_cut.mkv,47.367,16.637,229
Sparks_cut.mkv,48.401,17.382,230
Sparks_cut.mkv,47.664,17.742,231
Sparks_cut.mkv,48.76,17.657,232
Sparks_cut.mkv,47.154,17.512,233
Sparks_cut.mkv,45.749,17.126,234
Sparks_cut.mkv,44.436,16.744,235
Sparks_cut.mkv,43.833,16.322,236
Sparks_cut.mkv,43.45,16.277,237
Sparks_cut.mkv,43.159,16.159,238
Sparks_cut.mkv,42.983,15.96,239
Sparks_cut.mkv,43.191,15.803,240
Sparks_cut.mkv,39.073,46.467,241
Sparks_cut.mkv,36.437,13.784,242
Sparks_cut.mkv,35.69,13.159,243
Sparks_cut.mkv,37.171,13.199,244
Sparks_cut.mkv,38.752,13.839,245
Sparks_cut.mkv,40.122,14.62,246
Sparks_cut.mkv,39.351,14.553,247
Sparks_cut.mkv,39.379,14.284,248
Sparks_cut.mkv,38.343,14.071,249
Sparks_cut.mkv,39.145,14.138,250
Sparks_cut.mkv,38.654,13.968,251
Sparks_cut.mkv,37.545,13.852,252
Sparks_cut.mkv,39.957,14.631,253
Sparks_cut.mkv,39.792,14.8,254
Sparks_cut.mkv,38.187,14.517,255
Sparks_cut.mkv,36.374,13.923,256
Sparks_cut.mkv,35.201,13.269,257
Sparks_cut.mkv,35.413,13.285,258
Sparks_cut.mkv,35.198,12.894,259
Sparks_cut.mkv,37.908,13.539,260
Sparks_cut.mkv,38.158,13.894,261
Sparks_cut.mkv,40.117,14.165,262
Sparks_cut.mkv,41.525,14.732,263
Sparks_cut.mkv,42.615,15.282,264
Sparks_cut.mkv,43.634,15.785,265
Sparks_cut.mkv,44.387,16.337,266
Sparks_cut.mkv,44.422,16.0,267
Sparks_cut.mkv,42.226,15.268,268
Sparks_cut.mkv,43.618,16.363,269
Sparks_cut.mkv,43.378,16.1,270
Sparks_cut.mkv,44.186,16.175,271
Sparks_cut.mkv,46.541,16.746,272
Sparks_cut.mkv,47.912,16.593,273
Sparks_cut.mkv,48.498,16.887,274
Sparks_cut.mkv,47.437,17.001,275
Sparks_cut.mkv,45.411,16.109,276
Sparks_cut.mkv,46.131,15.866,277
Sparks_cut.mkv,45.391,15.87,278
Sparks_cut.mkv,45.561,15.946,279
Sparks_cut.mkv,43.874,15.927,280
Sparks_cut.mkv,47.101,16.849,281
Sparks_cut.mkv,46.652,16.989,282
Sparks_cut.mkv,46.62,16.781,283
Sparks_cut.mkv,44.923,16.601,284
Sparks_cut.mkv,43.389,15.743,285
Sparks_cut.mkv,43.81,15.866,286
Sparks_cut.mkv,42.591,15.56,287
Sparks_cut.mkv,41.436,15.194,288
Sparks_cut.mkv,40.764,14.887,289
Sparks_cut.mkv,39.401,14.738,290
Sparks_cut.mkv,39.544,14.579,291
Sparks_cut.mkv,38.113,14.661,292
Sparks_cut.mkv,38.097,14.421,293
Sparks_cut.mkv,37.116,14.024,294
Sparks_cut.mkv,36.199,13.456,295
Sparks_cut.mkv,36.744,13.483,296
Sparks_cut.mkv,37.023,13.701,297
Sparks_cut.mkv,35.032,13.159,298
Sparks_cut.mkv,36.114,13.826,299
Sparks_cut.mkv,34.792,13.555,300
Sparks_cut.mkv,34.049,13.113,301
Sparks_cut.mkv,34.847,12.914,302
Sparks_cut.mkv,35.551,13.178,303
Sparks_cut.mkv,35.13,13.239,304
Sparks_cut.mkv,35.655,13.032,305
Sparks_cut.mkv,36.816,13.032,306
Sparks_cut.mkv,39.577,13.655,307
Sparks_cut.mkv,41.449,14.778,308
Sparks_cut.mkv,41.057,14.847,309
Sparks_cut.mkv,43.68,15.27,310
Sparks_cut.mkv,44.214,16.091,311
Sparks_cut.mkv,44.758,16.317,312
Sparks_cut.mkv,44.679,16.522,313
